Test scheduability Report

Processor Utilization/Scheduling Results
Schedulability Results
core_0: Processor robot_impl_Instance.controller_board.core_0 is schedulable with utilization 6.0%
thread name, period, deadline, execution time, phase offset, priority, max response time, schedulability 
robot_impl_Instance.controller_firmware.command_guard_task, 10000, 10000, 100, 0, 40, 100.0, true
robot_impl_Instance.controller_firmware.telemetry_task, 20000, 20000, 500, 0, 15, 1100.0, true
robot_impl_Instance.controller_firmware.rx_task, 20000, 20000, 500, 0, 30, 600.0, true
robot_impl_Instance.controller_firmware.battery_task, 500000, 500000, 200, 0, 10, 1300.0, true


Schedulability Results
core_1: Processor robot_impl_Instance.controller_board.core_1 is schedulable with utilization 67.5%
thread name, period, deadline, execution time, phase offset, priority, max response time, schedulability 
robot_impl_Instance.controller_firmware.control_task, 10000, 10000, 5000, 0, 30, 5000.0, true
robot_impl_Instance.controller_firmware.imu_task, 20000, 20000, 3500, 0, 20, 8500.0, true



Thread binding report
thread controller_firmware.control_task(0,000 MIPS) ==> processor controller_board.core_1(0,000MIPS) No CPU capacity
thread controller_firmware.imu_task(0,000 MIPS) ==> processor controller_board.core_1(0,000MIPS) No CPU capacity
thread controller_firmware.battery_task(0,000 MIPS) ==> processor controller_board.core_0(0,000MIPS) No CPU capacity
thread controller_firmware.telemetry_task(0,000 MIPS) ==> processor controller_board.core_0(0,000MIPS) No CPU capacity
thread controller_firmware.rx_task(0,000 MIPS) ==> processor controller_board.core_0(0,000MIPS) No CPU capacity
thread controller_firmware.command_guard_task(0,000 MIPS) ==> processor controller_board.core_0(0,000MIPS) No CPU capacity
